house,bill_number,bill_name,status,submission_date
shugiin,215,1,行政手続における特定の個人を識別するための番号の利用等に関する法律等の一部を改正する法律の一部を改正する法律案,撤回
shugiin,215,2,就労支援給付制度の導入に関する法律案,衆議院で審議中
shugiin,216,1,賃金上昇を上回る所得税の負担増加等に対処するために所得税に関し講ずべき措置に関する法律案,衆議院で審議中
shugiin,216,3,揮発油価格高騰時における揮発油税等税率特例停止措置の実施並びに揮発油税等の税率の特例の廃止及び脱炭素社会の実現等に資する税制の構築のための措置に関する法律案,衆議院で審議中
shugiin,216,4,一般会計からの自動車安全特別会計の自動車事故対策勘定への繰入れのために講ずべき措置に関する法律案,衆議院で審議中
shugiin,216,5,電気料金の高騰に対する当分の間の措置として電気の使用者に対して再生可能エネルギー電気に係る賦課金の請求が行われないようにするために講ずべき措置等に関する法律案,衆議院で審議中
shugiin,216,9,政治資金規正法の一部を改正する法律案,衆議院で審議中
shugiin,216,10,政治資金規正法及び租税特別措置法の一部を改正する法律案,撤回
shugiin,216,12,政党交付金の交付停止等に関する制度の創設に関する法律案,衆議院で審議中
shugiin,216,13,政治資金規正法等の一部を改正する法律案,衆議院で審議中
shugiin,216,17,財政法の一部を改正する法律案,衆議院で審議中
shugiin,216,18,サイバー安全保障を確保するための能動的サイバー防御等に係る態勢の整備の推進に関する法律案,衆議院で審議中
shugiin,216,19,育児・介護二重負担者の支援に関する施策の推進に関する法律案,衆議院で審議中
shugiin,216,21,消費者対応業務関連特定行為対策の推進に関する法律案,衆議院で審議中
shugiin,216,22,被災者生活再建支援法の一部を改正する法律案,衆議院で審議中
shugiin,216,23,健康保険法及び高齢者の医療の確保に関する法律の一部を改正する法律案,衆議院で審議中
shugiin,216,24,我が国の総合的な安全保障の確保を図るための土地等の取得、利用及び管理の規制に関する施策の推進に関する法律案,衆議院で審議中
shugiin,216,25,学校給食法の一部を改正する法律案,衆議院で審議中
shugiin,217,1,医療保険の被保険者証等の交付等の特例に関する法律案,衆議院で審議中
shugiin,217,2,訪問介護事業者に対する緊急の支援に関する法律案,衆議院で審議中
shugiin,217,3,介護・障害福祉従事者の人材確保に関する特別措置法案,衆議院で審議中
shugiin,217,4,政治資金規正法の一部を改正する法律案,衆議院で審議中
shugiin,217,5,政治資金規正法の一部を改正する法律案,衆議院で審議中
