house,petition_number,title,petitioner,status
shugiin,24,日本銀行が既発行の国債を買っていることを中止し、月額五万円の基礎給付を国民全員に平等に与えることに関する請願,,
shugiin,1264,日本軍慰安婦問題の解決に関する請願,,
shugiin,1929,犯罪被害者支援制度の確立に関する請願,,
shugiin,2156,公務・公共サービスの拡充に関する請願,,
shugiin,2158,レッド・パージ被害者の名誉回復と国家賠償に関する請願,,
shugiin,11,国籍選択制度の廃止に関する請願,,
shugiin,12,元々日本国籍を持っている人が日本国籍を自動的に喪失しないよう求めることに関する請願,,
shugiin,202,選択的夫婦別姓制度を直ちに導入することを求めることに関する請願,,
shugiin,347,刑法及び刑事訴訟法の一部を改正する法律（公訴時効廃止・延長に関する改正刑訴法）の再検討に関する請願,,
shugiin,917,外国人住民基本法と人種差別撤廃法、難民保護法の制定に関する請願,,
shugiin,1083,民法・戸籍法の差別的規定の廃止・法改正に関する請願,,
shugiin,1102,民法を改正し、選択的夫婦別氏制度の導入を求めることに関する請願,,
shugiin,1265,選択的夫婦別姓の導入など、民法・戸籍法改正を求めることに関する請願,,
shugiin,1283,性虐待・性搾取等子供への性加害を根絶するため関係法規の更なる改正とサバイバーの声を生かした施策強化に関する請願,,
shugiin,1344,治安維持法犠牲者に対する国家賠償法の制定に関する請願,,
shugiin,1615,裁判所の人的・物的充実に関する請願,,
shugiin,1930,再審法改正（刑事訴訟法の一部改正）を求めることに関する請願,,
shugiin,376,代執行による辺野古新基地建設工事の中止と普天間基地の無条件撤去に関する請願,,
shugiin,725,横浜ノースドックへの米軍揚陸艇部隊配備撤回とノースドックの早期全面返還に関する請願,,
shugiin,1245,職場でのあらゆる暴力とハラスメントをなくすためにＩＬＯ第百九十号条約の批准を求めることに関する請願,,
shugiin,1268,女性差別撤廃条約選択議定書の速やかな批准を求めることに関する請願,,
shugiin,1679,日本国のジェノサイド条約批准を求めることに関する請願,,
shugiin,1933,オスプレイの飛行中止と配備撤回に関する請願,,
shugiin,1934,ガザ地区における停戦と人道支援を求めることに関する請願,,
shugiin,1935,日米地位協定の抜本的改定に関する請願,,
shugiin,1,ガソリン税凍結、消費税減税、インボイス制度廃止に関する請願,,
shugiin,78,消費税率五％以下への引下げとインボイス制度の廃止に関する請願,,
shugiin,82,消費税率五％への引下げに関する請願,,
shugiin,83,納税者の権利擁護を求めることに関する請願,,
shugiin,108,消費税インボイス制度の中止に関する請願,,
shugiin,246,税の集め方の抜本的見直しに関する請願,,
shugiin,849,消費税率を五％に引き下げ、複数税率・インボイス制度の即時廃止を求めることに関する請願,,
shugiin,1269,所得税法第五十六条の廃止に関する請願,,
shugiin,1936,適格請求書等保存方式（インボイス制度）の運用見直しに関する請願,,
shugiin,13,教育費負担の公私間格差をなくし、子供たちに行き届いた教育を求める私学助成に関する請願,,
shugiin,14,学費値下げ、給付奨学金拡充、奨学金の返済免除に関する請願,,
shugiin,22,教職員が教育に専念できる環境整備等を求めることに関する請願,,
shugiin,25,教育の無償化を目指して全ての子供たちに行き届いた教育を求めることに関する請願,,
shugiin,72,高等教育無償化を求めることに関する請願,,
shugiin,114,豊かな私学教育の実現のための私学助成に関する請願,,
shugiin,145,専任・専門・正規の学校司書の配置に関する請願,,
shugiin,209,大幅な私学助成増額に関する請願,,
shugiin,210,国の責任による二十人学級を展望した少人数学級の前進、教職員定数増、教育無償化、教育条件の改善に関する請願,,
shugiin,211,大軍拡をやめ、子育て・教育予算の大幅な拡充で公共を取り戻すことに関する請願,,
shugiin,618,設置基準を生かし特別支援学校の教室不足解消を求めることに関する請願,,
shugiin,833,全ての私立学校に正規の養護教諭を配置し、子供の命と健康が守られる教育条件を求めることに関する請願,,
shugiin,866,学費負担の大幅軽減と私大助成の増額に関する請願,,
shugiin,867,私立幼稚園を始めとした幼児教育の充実と発展に関する請願,,
shugiin,919,直ちに学費半額・入学金ゼロ、奨学金を給付中心にすること及び奨学金返済の半額免除に関する請願,,
shugiin,1957,国際基準の給付奨学金・無償教育の実現に関する請願,,
shugiin,2,従来の健康保険証を残すことに関する請願,,
shugiin,38,介護保険制度の抜本改善、介護従事者の処遇改善を求めることに関する請願,,
shugiin,47,じん肺とアスベスト被害根絶等に関する請願,,
shugiin,77,従来の健康保険証を残すことを求め、マイナンバーカード取得の強制に反対することに関する請願,,
shugiin,225,大軍拡をやめ、暮らしと社会保障予算の大幅な拡充で公共を取り戻すことに関する請願,,
shugiin,337,精神障害者の生活保護障害者加算認定に関する請願,,
shugiin,386,安全・安心の医療・介護の実現のため人員増と処遇改善を求めることに関する請願,,
shugiin,407,最低賃金全国一律制度の法改正を求めることに関する請願,,
shugiin,419,人権を保障する福祉職員の賃金と職員配置基準を引き上げることに関する請願,,
shugiin,558,パーキンソン病治療研究支援及び医療費助成制度の改善に関する請願,,
shugiin,568,国民を腎疾患から守る総合対策の早期確立に関する請願,,
shugiin,603,保険でよりよい歯科医療を求めることに関する請願,,
shugiin,712,誰もが安心できる年金制度への改善を求めることに関する請願,,
shugiin,744,障害児者の暮らしの場の拡充・充実に関する請願,,
shugiin,746,全ての看護職員の処遇改善に関する請願,,
shugiin,747,パーキンソン病の撲滅を目指すことに関する請願,,
shugiin,782,軍事費二倍化ではなく社会保障の拡充を求めることに関する請願,,
shugiin,816,最低賃金全国一律制度と中小企業支援の拡充による経済好循環の実現等に関する請願,,
shugiin,870,国立病院の機能強化に関する請願,,
shugiin,1054,障害福祉についての法制度拡充に関する請願,,
shugiin,1213,従来の健康保険証を使い続けられるよう求めることに関する請願,,
shugiin,1280,難病・長期慢性疾病・小児慢性特定疾病対策の総合的な推進に関する請願,,
shugiin,1424,精神保健医療福祉の改善に関する請願,,
shugiin,1798,現下の雇用失業情勢を踏まえた労働行政体制の整備を目指すことに関する請願,,
shugiin,1841,二〇二四年度の障害福祉サービス等の報酬改定の即時撤回と再改定を求めることに関する請願,,
shugiin,1958,建設アスベスト被害給付金法を改正し、建材企業が参加する補償基金制度の創設を求めることに関する請願,,
shugiin,1963,公正な賃金・労働条件に関する請願,,
shugiin,2089,医療崩壊を防ぐための医師増員を求めることに関する請願,,
shugiin,289,農業予算を抜本的に拡充すること等に関する請願,,
shugiin,445,国産食料の増産、食料自給率向上、家族農業支援強化に関する請願,,
shugiin,1462,ハタハタ漁業資源に関する請願,,
shugiin,297,気候危機打開へ、原発と石炭火力廃止を決断すること等に関する請願,,
shugiin,2024,原発ゼロと再生可能エネルギーへの転換を求めることに関する請願,,
shugiin,305,地域公共交通の維持・改善に関する請願,,
shugiin,1402,南アルプスリニアトンネル工事の中止を求めることに関する請願,,
shugiin,1925,国土交通行政を担う組織・体制の拡充と職員の確保に関する請願,,
shugiin,2025,災害からの復興、国民の安全・安心の実現への建設産業の再生に関する請願,,
shugiin,58,石綿による健康被害の救済に関する法律の抜本的改正等に関する請願,,
shugiin,454,全ての水俣病被害者を一刻も早く救済することに関する請願,,
shugiin,1780,国内象牙市場閉鎖に関する請願,,
shugiin,3,平和、命、暮らしを壊す大軍拡、大増税に反対することに関する請願,,
shugiin,262,大軍拡をやめることに関する請願,,
shugiin,936,辺野古新基地建設の断念を求めることに関する請願,,
shugiin,1236,緊急出動のある自衛官の官舎の改善に関する請願,,
shugiin,1517,戦争準備の軍拡は中止し、憲法、平和、命、暮らしを守る政治への転換に関する請願,,
shugiin,1665,平和、命、暮らしを壊し、市民に負担を強いる軍拡、増税に反対することに関する請願,,
shugiin,2065,次期戦闘機の共同開発と輸出を止めるよう求めることに関する請願,,
shugiin,2242,衆議院ホームページにおける情報アクセシビリティ向上を目的とした情報基盤の整備に関する請願,,
shugiin,236,大地震あるいは水害等で家を失った人に対して、自宅再建費用二千五百万円をデフレ脱却に資する場合に支給することに関する請願,,
shugiin,270,減災・防災対策等と被災地支援の体制を抜本的に強めること等に関する請願,,
shugiin,27,金権腐敗政治を一掃することに関する請願,,
shugiin,846,企業・団体献金の禁止に関する請願,,
shugiin,1072,政党助成法の廃止を求めることに関する請願,,
shugiin,1311,北方領土返還促進に関する請願,,
shugiin,944,公益通報者保護法改正に関する請願,,
shugiin,71,国・自治体の責任を堅持・拡充し、保育・学童保育の基準・施策の抜本的改善と予算増額を求めることに関する請願,,
shugiin,237,病児保育施設への国の予算拡充と制度設計改善に関する請願,,
shugiin,1222,幼稚園教諭、保育士、保育教諭資格の一元化等に関する請願,,
shugiin,2243,国の制度として、十八歳までの医療費窓口負担を無料にすることに関する請願,,
shugiin,517,憲法改悪を許さないことに関する請願,,
