date,speaker,party,committee,text,url
2025-04-14,安住淳,立憲民主党・無所属,予算委員会,○安住委員長これより会議を開きます。予算の実施状況に関する件について調査を進めます。本日は、米国の関税措置等内外の諸課題についての集中審議を行います。この際、お諮りいたします。本件調査のため、本日、参考人として日本銀行総裁植田和男君の出席を求め、意見を聴取し、また、政府参考人として、お手元に配付いたしておりますとおり、内閣官房国際博覧会推進本部事務局次長西海重和君外七名の出席を求め、説明を聴取いたしたいと存じますが、御異議ありませんか。〔「異議なし」と呼ぶ者あり〕,https://kokkai.ndl.go.jp/txt/121705261X02120250414/1
2025-04-14,安住淳,立憲民主党・無所属,予算委員会,○安住委員長御異議なしと認めます。よって、そのように決しました。―――――――――――――,https://kokkai.ndl.go.jp/txt/121705261X02120250414/2
2025-04-14,安住淳,立憲民主党・無所属,予算委員会,○安住委員長質疑の申出がありますので、順次これを許します。齋藤健君。,https://kokkai.ndl.go.jp/txt/121705261X02120250414/3
2025-04-14,齋藤健,自由民主党・無所属の会,予算委員会,○齋藤（健）委員おはようございます。自由民主党の齋藤健です。まず、理事始め御関係の皆さんに、質問の機会を与えていただきましたことを感謝申し上げたいと思います。早速、いわゆるトランプ関税について御質問をさせていただきたいと思います。御案内のように、九十日間の交渉期間ということでありますけれども、もう既に自動車、そして鉄鋼、アルミニウムには、二五％プラスで関税がかかっています。また、あらゆる製品について、一〇％の関税が既にかかっている状況であります。交渉に全力を尽くしていただき、国内対策にまず万全を期していただくことをお願い申し上げたいと思っています。私が申し上げたいのは、そもそも、本件は本当に日米の深刻な経済問題なんだろうかということであります。私が日米交渉を担当していた一九九〇年代前半、例えば一九九一年を取ってみますと、日本の赤字というのは、アメリカの赤字全体の六割以上を占めていました、一国で。したがって、当時の日米交渉というのは大変深刻なものがありました。今、日本は、アメリカの全世界の赤字の中で約六％しか占めていません。中国が二六％、ＥＵが二〇％を占めております。そういう意味では、日...,https://kokkai.ndl.go.jp/txt/121705261X02120250414/4
2025-04-14,石破茂,自由民主党・無所属の会,予算委員会,○石破内閣総理大臣全て齋藤委員御賢察のとおりだと思っております。まさしくそういうことなのです。ロジックもあります。後段で委員がお触れになったように、日本をヨーロッパあるいはその他の国々と一緒にしないでくれというのは、五年間にわたって最大の投資をしてきた、多くの雇用を生み出してきたという事実であります。投資もしていない、あるいは雇用も生み出していない、それはいろいろな事情はあるでしょう、しかし、それと同列に扱うということは極めて不当なことであるということは、論理の世界でいえばそのとおりだと思っております。論理はきちんと論理として詰めていくと同時に、エモーショナルな部分といいますか、なぜ大統領はあのような主張をするに至ったのかということは、再び大統領に就任するまでの四年間、どこでどんな演説をしてきたのかということ、そして就任演説で何を述べ、あの大統領令の中で何を述べているかということをきちんと理解をすることも必要なことだと思っております。大統領が強調したのは、忘れ去られた人々に対してどうするのだということであります。雇用を奪われてきた人に対してどのようにして雇用を与えるのかということ、それ...,https://kokkai.ndl.go.jp/txt/121705261X02120250414/5
2025-04-14,齋藤健,自由民主党・無所属の会,予算委員会,○齋藤（健）委員日本が四十年間にわたってアメリカに対して努力をしてきたこと、これは私は重いと思っていますので、是非、ほかの国と一緒にしないでくれという議論は堂々とやっていただきたいなと思います。交渉は、既に関税がかけられておりますので、それは早期妥結が望ましいにこしたことはありませんが、一方で、交渉は焦った方が負けという局面もあります。これから恐らくアメリカ経済には様々な影響が出てくるんだろうと思っています。アメリカにはワンダラーショップという日本の百円ショップみたいなものがありますが、ほとんど中国からの輸入品だと思いますので、一〇〇％以上の関税がかかってもし中国から入ってくれば、これがツーダラーショップになってしまうわけですね。それから、日本の自動車メーカーはできるだけ現地の価格を上げないように頑張って輸出をしようとしておりますけれども、もし二五％がそのまま乗るのであれば、今まで六百万円だった車が七百五十万円になるわけでありますので、アメリカ経済に大きな影響が出てきます。関税というのは逆進性のある税でありますので、恐らく、総理がおっしゃった、生活に苦しい人たちによりダメージが大きい、...,https://kokkai.ndl.go.jp/txt/121705261X02120250414/6
2025-04-14,石破茂,自由民主党・無所属の会,予算委員会,○石破内閣総理大臣それは、せいては事をし損じるということだと思っております。委員御指摘のように、どんどんどんどん妥協する、とにかく交渉さえまとまればいいというふうな交渉方針が望ましいと私は考えておりません。きちんきちんと一つずつ、各産業においてどのような影響が出るのか、日本国内の場合です、そして、本当にそれがアメリカにおいて製造業の復活、雇用の復活に結びつくのかどうか、そこは論理の世界でございますので、そこはきちんきちんと、赤澤大臣も、そして政府を挙げて交渉してまいりたいと思っております。あわせまして、安全保障の面の議論が余りございませんが、その面においてはどうなのだろうかという議論もこれから必要だと思っております。要は、どうして両国とも国益を得るか、そして両国が共にこれから先、世界のために何ができるかということを、同盟国ならではの関係というものを新たに築いていくということが重要なことだと思っておりまして、とにもかくにも早く交渉をまとめればいい、そういう考え方には立っておりません。委員御指摘のとおりでございます。,https://kokkai.ndl.go.jp/txt/121705261X02120250414/7
2025-04-14,齋藤健,自由民主党・無所属の会,予算委員会,○齋藤（健）委員もう一方で、私は思いますのは、今回の関税は全世界に向けてかけられております。とりわけ、ＡＳＥＡＮ諸国にも高額の関税がかけられています。例えば、ベトナムには四六％、タイには三六％をかけるということになっております。日本の企業はＡＳＥＡＮに進出をしておりまして、そこで生産をして輸出をしている活動というのも相当多くやっているわけでありますので、実は人ごとではないんだろうというふうに思っています。トランプ大統領は、個別に各国とバイで、二国間の協議をするのが大好きな人ではありますけれども、日本としては、ＡＳＥＡＮと実は運命共同体、利益共同体なんだろうと本件については思っております。したがいまして、ＡＳＥＡＮ諸国との連携、もちろん、ヨーロッパとの連携も必要で、総理がイギリスの首相と電話をされたのは非常によかったと思っていますが、とりわけＡＳＥＡＮは、日本と本件に関しては運命共同体だと思いますので、このＡＳＥＡＮ諸国と関税問題をどういう連携をしていくかという具体的に何か考えていることがあれば、御教示いただきたいと思います。習近平氏は、たしかベトナムとカンボジアを訪問するというやに聞い...,https://kokkai.ndl.go.jp/txt/121705261X02120250414/8
2025-04-14,石破茂,自由民主党・無所属の会,予算委員会,○石破内閣総理大臣おっしゃるとおり、ＡＳＥＡＮとの関係というのは極めて重要であります。できれば、本日の午後、シンガポールの首相とも電話会談をするということで現在調整中でございます。あるいは、本年に入りまして、マレーシア、インドネシアと訪問し、首相あるいは大統領とかなり長い時間、会談をいたしてまいりました。これは、ＡＳＥＡＮというのを考えたときに、委員が今運命共同体という言葉をお使いになりましたが、そういう面が多々あると思います。そして、中国の習近平主席がアジアを訪問するということも報道されているとおりでございます。先ほどの答弁で申し上げましたように、日本とアメリカが同盟国としてこれから先何ができるかと考えるときに、中国の存在というのを抜きに考えることはできません。そして、ＡＳＥＡＮは、特にイスラムの国もございます、安全保障の面もございます、そして中国との結びつきもございます。そうすると、日本が果たしていかねばならない役割というのは非常に大きいのだというふうに認識をいたしておりまして、フィリピンもそうですが、経済の面においてのみならず、安全保障の面も含めて、日本とアメリカが共に何ができる...,https://kokkai.ndl.go.jp/txt/121705261X02120250414/9
2025-04-14,齋藤健,自由民主党・無所属の会,予算委員会,○齋藤（健）委員まず、ＡＳＥＡＮの国々と連帯意識を強く持つということと、もし本当に関税がかかってきた場合、日本としてどういう協力ができるかということも含めて様々考えておく必要があるんだろうというふうに思っています。それから、既に二五％、一〇％の関税がかかっているわけでありますので、日本の国内に影響が出るということはもう不可避であります。総理は国難という言葉をお使いになっていますが、私は、もし本当に全て関税が課されるということになりますと、これは世界経済に大きな影響が出るというのは間違いないと思っています。国内においても、産業界あるいは農業界と緊密な連携を取っていくことが不可避だと思っております。既にやられているとは思いますけれども、その産業界との団結をする、そういう機運づくりというものが非常に重要だと思います。情報共有を常に緊密にし、そして意見交換をし、もし何か新しい支援要請があれば直ちに対応する、そういう体制づくり、できれば定期的にそういう産業界と話合いをする機会を設ければいいのではないかなと思いますが、経産大臣の見解を伺いたいと思います。,https://kokkai.ndl.go.jp/txt/121705261X02120250414/10
