date,speaker,party,committee,text,url
2025-06-03,会議録情報,,議院運営委員会,令和七年六月三日（火曜日） 正午開議出席委員委員長浜田靖一君理事村井英樹君理事田野瀬太道君理事井出庸生君理事井野俊郎君理事青柳陽一郎君理事道下大樹君理事吉田はるみ君理事中司宏君理事村岡敏英君上田英俊君鬼木誠君鈴木隼人君高木啓君三谷英弘君森下千里君五十嵐えり君伊藤俊輔君高松智之君長友よしひろ君金村龍那君臼木秀剛君吉田宣弘君山川仁君塩川鉄也君 ... 議長額賀福志郎君副議長玄葉光一郎君事務総長築山信彦君 ――――――――――――― 委員の異動六月三日辞任補欠選任深澤陽一君鬼木誠君同日辞任補欠選任鬼木誠君深澤陽一君 ――――――――――――― 本日の会議に付した案件本日の本会議の議事等に関する件 ――――◇―――――,https://kokkai.ndl.go.jp/txt/121704024X03220250603/0
2025-06-03,浜田靖一,自由民主党・無所属の会,議院運営委員会,○浜田委員長これより会議を開きます。本日の本会議の議事について、事務総長の説明を求めます。,https://kokkai.ndl.go.jp/txt/121704024X03220250603/1
2025-06-03,築山信彦,,議院運営委員会,○築山事務総長日程第一及び第二でございますが、日程第二は委員長提出の議案でありますので、議長から委員会の審査を省略して日程第一とともに一括議題とすることをお諮りいたします。次いで大岡内閣委員長の報告及び趣旨弁明がございます。採決は二回になります。一回目は日程第一で、参政党及び日本保守党が反対でございます。二回目は日程第二で、れいわ新選組が反対でございます。本日の議事は、以上でございます。――――――――――――― 議事日程第二十九号令和七年六月三日午後一時開議第一海洋再生可能エネルギー発電設備の整備に係る海域の利用の促進に関する法律の一部を改正する法律案（内閣提出、参議院送付） 第二 ギャンブル等依存症対策基本法の一部を改正する法律案（内閣委員長提出） ―――――――――――――,https://kokkai.ndl.go.jp/txt/121704024X03220250603/2
2025-06-03,浜田靖一,自由民主党・無所属の会,議院運営委員会,○浜田委員長それでは、本日の本会議は、午後零時五十分予鈴、午後一時から開会いたします。―――――――――――――,https://kokkai.ndl.go.jp/txt/121704024X03220250603/3
2025-06-03,浜田靖一,自由民主党・無所属の会,議院運営委員会,○浜田委員長次に、次回の本会議の件についてでありますが、次回の本会議は、来る五日木曜日午後一時から開会することといたします。また、同日午前十一時理事会、正午から委員会を開会いたします。本日は、これにて散会いたします。午後零時一分散会,https://kokkai.ndl.go.jp/txt/121704024X03220250603/4
2025-06-04,会議録情報,,議院運営委員会,令和七年六月四日（水曜日） 午前九時四十分開会 --- 委員の異動五月三十日辞任補欠選任山本啓介君堀井巌君若林洋平君山下雄平君高橋次郎君宮崎勝君六月二日辞任補欠選任朝日健太郎君清水真人君古庄玄知君田中昌史君藤井一博君吉川ゆうみ君堀井巌君山本啓介君山下雄平君若林洋平君宮崎勝君高橋次郎君六月三日辞任補欠選任吉川ゆうみ君藤井一博君高橋次郎君河野義博君六月四日辞任補欠選任河野義博君高橋次郎君 --- 出席者は左のとおり。委員長牧野たかお君理 事こやり隆史君馬場成志君星 北斗君石橋通宏君熊谷裕人君伊藤孝江君高木かおり君浜野喜史君岩渕友君委 員梶原大介君神谷政幸君清水真人君白坂亜紀君田中昌史君藤井一博君山本啓介君若林洋平君渡辺猛之君三上えり君森本真治君横沢高徳君高橋次郎君安江伸夫君青島健太君委員以外の議員議員大島九州男君 --- 議長関口昌一君副議長長浜博行君 --- 事務局側事務総長小林史武君事務次長伊藤文靖君議事部長八鍬敬嗣君委員部長黒川和良君記録部長森 黒土君警務部長三瓶朋秀君庶務部長光地壱朗君管理部長松下和史君国際部長相澤達也君企画調整室長金子真実君 --- 本日の会議に付した案件 ○本会...,https://kokkai.ndl.go.jp/txt/121714024X02520250604/0
2025-06-04,牧野たかお,自由民主党,議院運営委員会,○委員長（牧野たかお君） ただいまから議院運営委員会を開会いたします。まず、本会議における議案の趣旨説明聴取及び質疑に関する件を議題といたします。本件につきましては、理事会におきまして協議いたしました結果、社会経済の変化を踏まえた年金制度の機能強化のための国民年金法等の一部を改正する等の法律案につき、本日の本会議においてその趣旨説明を聴取するとともに、自由民主党一人十分、立憲民主・社民・無所属一人十五分、公明党、日本維新の会、国民民主党・新緑風会及び日本共産党各々一人十分の質疑を順次行うことに意見が一致しました。理事会申合せのとおり決定することに御異議ございませんか。〔「異議なし」と呼ぶ者あり〕,https://kokkai.ndl.go.jp/txt/121714024X02520250604/1
2025-06-04,牧野たかお,自由民主党,議院運営委員会,○委員長（牧野たかお君） 御異議ないと認め、さよう決定いたします。---,https://kokkai.ndl.go.jp/txt/121714024X02520250604/2
2025-06-04,牧野たかお,自由民主党,議院運営委員会,○委員長（牧野たかお君） 次に、本日の本会議の議事に関する件を議題といたします。事務総長の説明を求めます。,https://kokkai.ndl.go.jp/txt/121714024X02520250604/3
2025-06-04,小林史武,,議院運営委員会,○事務総長（小林史武君） 御説明申し上げます。本日の議事は、最初に、社会経済の変化を踏まえた年金制度の機能強化のための国民年金法等の一部を改正する等の法律案の趣旨説明でございます。まず、日程に追加して提出者の趣旨説明を求めることを異議の有無をもってお諮りいたします。異議がないと決しますと、福岡厚生労働大臣から趣旨説明があり、これに対し、石田昌宏君、森本真治君、塩田博昭君、猪瀬直樹君、田村まみ君、倉林明子君の順に質疑を行います。次に、日程第一について、災害対策特別委員長が報告された後、採決いたします。次に、日程第二について、消費者問題に関する特別委員長が報告された後、採決いたします。次に、日程第三について、厚生労働委員長が報告された後、採決いたします。次に、日程第四及び第五を一括して議題とした後、国土交通委員長が報告されます。採決は両案を一括して行います。なお、本日の議案の採決は、いずれも押しボタン式投票をもって行います。以上をもちまして本日の議事を終了いたします。その所要時間は約二時間十分の見込みでございます。,https://kokkai.ndl.go.jp/txt/121714024X02520250604/4
2025-06-04,牧野たかお,自由民主党,議院運営委員会,○委員長（牧野たかお君） ただいまの事務総長説明のとおり本日の本会議の議事を進めることに御異議ございませんか。〔「異議なし」と呼ぶ者あり〕,https://kokkai.ndl.go.jp/txt/121714024X02520250604/5
